"filename", "language", "JSON", "Markdown", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"/home/bp/Source/fortivector-next/src/lib/components/forms/create-control-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 0, 8, 104
"/home/bp/Source/fortivector-next/src/lib/components/forms/create-role-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 171, 0, 0, 0, 12, 183
"/home/bp/Source/fortivector-next/src/lib/components/forms/create-system-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 0, 7, 93
"/home/bp/Source/fortivector-next/src/lib/components/forms/create-user-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 175, 0, 0, 0, 11, 186
"/home/bp/Source/fortivector-next/src/lib/components/forms/edit-role-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 165, 0, 0, 0, 12, 177
"/home/bp/Source/fortivector-next/src/lib/components/forms/edit-user-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 143, 0, 0, 0, 10, 153
"/home/bp/Source/fortivector-next/src/lib/components/forms/invite-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 0, 7, 82
"/home/bp/Source/fortivector-next/src/lib/components/forms/sign-in-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 0, 7, 86
"/home/bp/Source/fortivector-next/src/lib/components/header-auth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 4, 48
"/home/bp/Source/fortivector-next/src/lib/components/mode-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 3, 42
"/home/bp/Source/fortivector-next/src/lib/components/protected/drop-down-item.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"/home/bp/Source/fortivector-next/src/lib/components/protected/route-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"/home/bp/Source/fortivector-next/src/lib/components/submit-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"/home/bp/Source/fortivector-next/src/lib/components/systems-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 76, 0, 0, 0, 6, 82
"/home/bp/Source/fortivector-next/src/lib/components/tabs/controls-tab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 111, 0, 0, 0, 9, 120
"/home/bp/Source/fortivector-next/src/lib/components/tabs/invites-tab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 157, 0, 0, 3, 10, 170
"/home/bp/Source/fortivector-next/src/lib/components/tabs/roles-tab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 8, 110
"/home/bp/Source/fortivector-next/src/lib/components/tabs/users-tab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 8, 135
"/home/bp/Source/fortivector-next/src/lib/components/ui/accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
"/home/bp/Source/fortivector-next/src/lib/components/ui/alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 0, 7, 67
"/home/bp/Source/fortivector-next/src/lib/components/ui/avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"/home/bp/Source/fortivector-next/src/lib/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 6, 47
"/home/bp/Source/fortivector-next/src/lib/components/ui/breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 0, 11, 110
"/home/bp/Source/fortivector-next/src/lib/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 6, 60
"/home/bp/Source/fortivector-next/src/lib/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 10, 93
"/home/bp/Source/fortivector-next/src/lib/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"/home/bp/Source/fortivector-next/src/lib/components/ui/command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 165, 0, 0, 0, 13, 178
